nodes,threads,density,total_time,workload_time,overhead
100,1,0.01,0.009674,0.009666,0.000008
100,1,0.10,0.034791,0.034783,0.000009
100,1,0.25,0.017156,0.017142,0.000013
100,1,0.50,0.017271,0.017251,0.000020
100,1,0.75,0.027595,0.027584,0.000012
100,1,1.00,0.017194,0.017184,0.000010
100,2,0.01,0.005345,0.005335,0.000010
100,2,0.10,0.014771,0.014760,0.000011
100,2,0.25,0.017816,0.017807,0.000008
100,2,0.50,0.048983,0.048966,0.000017
100,2,0.75,0.031027,0.031014,0.000013
100,2,1.00,0.083579,0.083570,0.000009
100,4,0.01,0.030707,0.030697,0.000010
100,4,0.10,0.027864,0.027825,0.000039
100,4,0.25,0.016050,0.016043,0.000007
100,4,0.50,0.083274,0.083264,0.000010
100,4,0.75,0.027465,0.027459,0.000007
100,4,1.00,0.054705,0.054690,0.000016
100,8,0.01,0.069823,0.069814,0.000009
100,8,0.10,0.072643,0.072634,0.000009
100,8,0.25,0.052240,0.052228,0.000012
100,8,0.50,0.090239,0.090230,0.000010
100,8,0.75,0.096500,0.096490,0.000010
100,8,1.00,0.219547,0.219537,0.000010
100,16,0.01,0.033964,0.033954,0.000009
100,16,0.10,0.413575,0.413567,0.000008
100,16,0.25,0.320547,0.320540,0.000007
100,16,0.50,0.271887,0.271878,0.000009
100,16,0.75,0.223467,0.223453,0.000013
100,16,1.00,0.378729,0.378717,0.000013
200,1,0.01,0.359920,0.359912,0.000008
200,1,0.10,0.125715,0.125707,0.000008
200,1,0.25,0.240694,0.240668,0.000026
200,1,0.50,0.207380,0.207370,0.000010
200,1,0.75,0.166393,0.166379,0.000015
200,1,1.00,0.131561,0.131550,0.000011
200,2,0.01,0.087600,0.087592,0.000009
200,2,0.10,0.167523,0.167505,0.000018
200,2,0.25,0.124997,0.124989,0.000008
200,2,0.50,0.125560,0.125551,0.000009
200,2,0.75,0.133362,0.133352,0.000009
200,2,1.00,0.121700,0.121660,0.000040
200,4,0.01,0.070017,0.070006,0.000011
200,4,0.10,0.086808,0.086799,0.000009
200,4,0.25,0.062254,0.062237,0.000017
200,4,0.50,0.089732,0.089723,0.000010
200,4,0.75,0.087077,0.087061,0.000016
200,4,1.00,0.102513,0.102498,0.000015
200,8,0.01,0.199454,0.199443,0.000011
200,8,0.10,0.338885,0.338874,0.000011
200,8,0.25,0.285372,0.285357,0.000015
200,8,0.50,0.069527,0.069513,0.000014
200,8,0.75,0.270181,0.270166,0.000014
200,8,1.00,0.118717,0.118706,0.000011
200,16,0.01,0.447697,0.447687,0.000011
200,16,0.10,0.448965,0.448959,0.000007
200,16,0.25,0.389213,0.389203,0.000010
200,16,0.50,0.353998,0.353980,0.000018
200,16,0.75,0.382058,0.382046,0.000012
200,16,1.00,0.516844,0.516835,0.000008
300,1,0.01,0.322047,0.322034,0.000014
300,1,0.10,0.487272,0.487250,0.000022
300,1,0.25,0.428742,0.428729,0.000013
300,1,0.50,0.429931,0.429918,0.000012
300,1,0.75,0.437164,0.437150,0.000013
300,1,1.00,0.424793,0.424732,0.000062
300,2,0.01,0.177111,0.177100,0.000011
300,2,0.10,0.283749,0.283734,0.000016
300,2,0.25,0.383878,0.383869,0.000010
300,2,0.50,0.381950,0.381928,0.000022
300,2,0.75,0.230654,0.230633,0.000021
300,2,1.00,0.228680,0.228667,0.000013
300,4,0.01,0.196856,0.196822,0.000034
300,4,0.10,0.342439,0.342429,0.000010
300,4,0.25,0.258565,0.258554,0.000010
