threads,size,view,total_time_ms,workload_time_ms,overhead_ms
1,512,0,1647.66,1647.63,0.03
1,1024,0,6577.54,6577.51,0.03
1,2048,0,28398.22,28398.20,0.02
2,512,0,797.03,797.00,0.02
2,1024,0,3550.07,3549.67,0.40
2,2048,0,14407.00,14406.98,0.02
4,512,0,402.28,402.26,0.03
4,1024,0,1796.24,1796.22,0.02
4,2048,0,6796.67,6796.59,0.08
8,512,0,239.09,239.01,0.08
8,1024,0,858.42,858.37,0.05
8,2048,0,4396.11,4386.40,9.71
16,512,0,165.34,163.82,1.52
16,1024,0,598.73,597.52,1.21
16,2048,0,2138.80,2137.58,1.22
