array_size,threads,total_time,workload_time,overhead
10,1,0.000055,0.000038,0.000017
10,2,0.001550,0.000258,0.001293
10,4,0.013573,0.000310,0.013263
10,8,0.020835,0.000800,0.020035
10,16,0.030742,0.006704,0.024039
100,1,0.003199,0.003156,0.000043
100,2,0.014045,0.000374,0.013670
100,4,0.011680,0.000286,0.011394
100,8,0.007584,0.001401,0.006183
100,16,0.017342,0.007341,0.010001
1000,1,0.002163,0.002146,0.000017
1000,2,0.008507,0.000529,0.007978
1000,4,0.011562,0.000847,0.010715
1000,8,0.018345,0.005219,0.013125
1000,16,0.024491,0.004702,0.019789
10000,1,0.007724,0.007629,0.000095
10000,2,0.009440,0.004067,0.005373
10000,4,0.010240,0.008851,0.001389
10000,8,0.016986,0.010783,0.006203
10000,16,0.034696,0.008884,0.025811
100000,1,0.082239,0.082218,0.000021
100000,2,0.097217,0.095520,0.001697
100000,4,0.065285,0.057866,0.007419
100000,8,0.065999,0.058610,0.007389
100000,16,0.066192,0.050576,0.015617
1000000,1,0.896891,0.896865,0.000025
1000000,2,0.649184,0.646119,0.003065
1000000,4,0.490031,0.476521,0.013510
1000000,8,0.299328,0.285802,0.013526
1000000,16,0.289175,0.274721,0.014454
10000000,1,9.815845,9.815800,0.000044
10000000,2,6.027578,6.026349,0.001229
10000000,4,4.536613,4.534851,0.001761
10000000,8,2.901524,2.887653,0.013872
10000000,16,2.254380,2.239321,0.015058
