Threads,ArraySize,TotalTime,WorkloadTime,Overhead
1,10,0.000037,0.000017,0.000020
2,10,0.006013,0.000411,0.005603
4,10,0.006853,0.000171,0.006682
8,10,0.015933,0.000411,0.015522
16,10,0.029794,0.000340,0.029454
1,100,0.000074,0.000020,0.000054
2,100,0.013886,0.000198,0.013687
4,100,0.023578,0.000064,0.023515
8,100,0.008767,0.000285,0.008482
16,100,0.019056,0.006291,0.012765
1,1000,0.000531,0.000048,0.000483
2,1000,0.001465,0.000090,0.001375
4,1000,0.004830,0.000297,0.004533
8,1000,0.027600,0.000193,0.027408
16,1000,0.021483,0.009006,0.012477
1,10000,0.005064,0.000265,0.004798
2,10000,0.003831,0.000289,0.003542
4,10000,0.020726,0.000416,0.020310
8,10000,0.032788,0.000478,0.032310
16,10000,0.023980,0.000480,0.023500
1,100000,0.097982,0.002395,0.095587
2,100000,0.056146,0.001625,0.054521
4,100000,0.080451,0.002901,0.077550
8,100000,0.059511,0.001809,0.057701
16,100000,0.092463,0.010144,0.082318
1,1000000,0.712131,0.021698,0.690433
2,1000000,0.415307,0.013619,0.401688
4,1000000,0.526883,0.013643,0.513240
8,1000000,0.350405,0.013436,0.336969
16,1000000,0.313861,0.030348,0.283513
1,10000000,10.873727,0.306518,10.567209
2,10000000,6.644447,0.329173,6.315275
4,10000000,7.209017,0.408779,6.800238
8,10000000,7.471295,0.475126,6.996169
16,10000000,6.447153,0.301035,6.146118
