Nodes,Threads,Density,TotalTime,WorkTime,Overhead
100,1,0.01,0.005023,0.003841,0.001183
100,1,0.10,0.021159,0.018701,0.002458
100,1,0.25,0.016559,0.007160,0.009399
100,1,0.50,0.008527,0.008031,0.000496
100,1,0.75,0.007017,0.005799,0.001217
100,1,1.00,0.006119,0.005574,0.000545
100,2,0.01,0.007628,0.006840,0.000788
100,2,0.10,0.015659,0.014880,0.000778
100,2,0.25,0.008412,0.007987,0.000425
100,2,0.50,0.012491,0.011901,0.000590
100,2,0.75,0.012467,0.011108,0.001359
100,2,1.00,0.045861,0.044713,0.001148
100,4,0.01,0.005873,0.004865,0.001008
100,4,0.10,0.013899,0.013053,0.000846
100,4,0.25,0.014009,0.013202,0.000808
100,4,0.50,0.010255,0.009322,0.000934
100,4,0.75,0.025817,0.024325,0.001492
100,4,1.00,0.006708,0.005773,0.000935
100,8,0.01,0.044669,0.041979,0.002690
100,8,0.10,0.052889,0.050479,0.002410
100,8,0.25,0.013246,0.010625,0.002620
100,8,0.50,0.028574,0.026682,0.001892
100,8,0.75,0.025183,0.021819,0.003364
100,8,1.00,0.043646,0.037806,0.005840
100,16,0.01,0.043188,0.039773,0.003415
100,16,0.10,0.041668,0.037421,0.004247
100,16,0.25,0.055877,0.044542,0.011334
100,16,0.50,0.058843,0.055641,0.003202
100,16,0.75,0.035325,0.030648,0.004677
100,16,1.00,0.049707,0.046016,0.003691
200,1,0.01,0.062192,0.061696,0.000496
200,1,0.10,0.052303,0.051985,0.000317
200,1,0.25,0.052783,0.052466,0.000317
200,1,0.50,0.061687,0.055083,0.006603
200,1,0.75,0.046427,0.046016,0.000411
200,1,1.00,0.055446,0.054927,0.000519
200,2,0.01,0.029423,0.028845,0.000578
200,2,0.10,0.034601,0.033424,0.001177
200,2,0.25,0.041016,0.040418,0.000598
200,2,0.50,0.055420,0.054753,0.000666
200,2,0.75,0.029596,0.028980,0.000616
200,2,1.00,0.056171,0.055416,0.000754
200,4,0.01,0.020682,0.019867,0.000815
200,4,0.10,0.038000,0.036680,0.001320
200,4,0.25,0.067314,0.066319,0.000995
200,4,0.50,0.044226,0.043105,0.001121
200,4,0.75,0.038526,0.037641,0.000884
200,4,1.00,0.072378,0.070539,0.001840
200,8,0.01,0.064004,0.060457,0.003547
200,8,0.10,0.089958,0.084567,0.005391
200,8,0.25,0.140761,0.135214,0.005547
200,8,0.50,0.039896,0.037783,0.002113
200,8,0.75,0.054581,0.052086,0.002495
200,8,1.00,0.094416,0.092026,0.002390
200,16,0.01,0.095219,0.088637,0.006582
200,16,0.10,0.116672,0.111243,0.005429
200,16,0.25,0.166667,0.164133,0.002534
200,16,0.50,0.142006,0.138013,0.003993
200,16,0.75,0.125743,0.117591,0.008152
200,16,1.00,0.115927,0.111944,0.003983
