size,threads,total_time,workload_time,overhead
10,1,0.005162,0.000007,0.005155
10,2,0.000907,0.000065,0.000842
10,4,0.000173,0.000008,0.000164
10,8,0.000133,0.000065,0.000068
10,16,0.000444,0.000220,0.000224
100,1,0.002010,0.000023,0.001987
100,2,0.000252,0.000020,0.000232
100,4,0.000099,0.000023,0.000076
100,8,0.000095,0.000036,0.000059
100,16,0.000425,0.000329,0.000097
1000,1,0.000606,0.000161,0.000444
1000,2,0.000819,0.000166,0.000653
1000,4,0.000389,0.000210,0.000178
1000,8,0.000252,0.000104,0.000148
1000,16,0.000605,0.000470,0.000135
10000,1,0.002352,0.002052,0.000300
10000,2,0.001468,0.001237,0.000231
10000,4,0.001327,0.001260,0.000067
10000,8,0.004055,0.003387,0.000668
10000,16,0.002254,0.002205,0.000049
100000,1,0.104424,0.101803,0.002620
100000,2,0.022145,0.022070,0.000075
100000,4,0.022434,0.021377,0.001057
100000,8,0.010454,0.010313,0.000141
100000,16,0.028590,0.028503,0.000088
1000000,1,0.337299,0.324103,0.013196
1000000,2,0.354669,0.353565,0.001103
1000000,4,0.176499,0.176284,0.000216
1000000,8,0.166430,0.166300,0.000130
1000000,16,0.091616,0.091504,0.000112
10000000,1,3.615503,3.615112,0.000391
10000000,2,2.219047,2.218765,0.000283
10000000,4,1.655304,1.655000,0.000304
10000000,8,1.042896,1.042816,0.000081
10000000,16,0.842053,0.841900,0.000153
