size,threads,total_time,workload_time,overhead
10,1,0.002639,0.000074,0.002565
10,2,0.000470,0.000005,0.000465
10,4,0.000078,0.000006,0.000072
10,8,0.000487,0.000323,0.000164
10,16,0.000658,0.000026,0.000632
100,1,0.002595,0.000076,0.002519
100,2,0.001076,0.000013,0.001062
100,4,0.000384,0.000182,0.000202
100,8,0.000077,0.000015,0.000062
100,16,0.000599,0.000363,0.000236
1000,1,0.000312,0.000087,0.000225
1000,2,0.000240,0.000090,0.000150
1000,4,0.000569,0.000134,0.000435
1000,8,0.000126,0.000087,0.000039
1000,16,0.001923,0.001629,0.000293
10000,1,0.005487,0.004643,0.000845
10000,2,0.001417,0.001180,0.000237
10000,4,0.003052,0.002535,0.000517
10000,8,0.001375,0.001331,0.000044
10000,16,0.001887,0.001841,0.000046
100000,1,0.014383,0.014083,0.000300
100000,2,0.039673,0.039607,0.000066
100000,4,0.009427,0.009100,0.000328
100000,8,0.010430,0.010318,0.000112
100000,16,0.008721,0.008643,0.000078
1000000,1,0.200407,0.199821,0.000586
1000000,2,0.142325,0.142093,0.000232
1000000,4,0.076108,0.075865,0.000242
1000000,8,0.195721,0.195658,0.000063
1000000,16,0.131361,0.131269,0.000092
10000000,1,1.889614,1.889068,0.000546
10000000,2,1.582993,1.582046,0.000947
10000000,4,1.428043,1.427911,0.000133
10000000,8,0.928290,0.928214,0.000076
10000000,16,0.841049,0.840812,0.000237
